Lista de features excluídas por não apresentarem relação estatisticamente significativa com aleitamento_materno_exclusivo (p≥0.05)
====================================================================================================

Total de features excluídas: 125

Testes aplicados nas features excluídas:
- Chi-quadrado: 73
- Mann-Whitney U: 52

Feature                                  | Classificação | Teste Aplicado                  | p-valor
----------------------------------------------------------------------------------------------------
j10_serie                                | Qualitativa   | Chi-quadrado                   | 0.05043
p09_banheiros_chuveiro                   | Qualitativa   | Chi-quadrado                   | 0.05612
q07_renda_faixa                          | Qualitativa   | Chi-quadrado                   | 0.06037
s04_peso_padrao                          | Qualitativa   | Chi-quadrado                   | 0.06416
m02_quem_cozinha                         | Qualitativa   | Chi-quadrado                   | 0.07333
l11_menos18_diminuiu                     | Qualitativa   | Chi-quadrado                   | 0.07616
l09_menos18_saudavel                     | Qualitativa   | Chi-quadrado                   | 0.07755
n03_verduras                             | Qualitativa   | Chi-quadrado                   | 0.08054
bbb08_numero_mais_novo1                  | Quantitativa  | Mann-Whitney U                 | 0.08138
o05_refrigerantes_comprar                | Qualitativa   | Chi-quadrado                   | 0.08982
r13_internet_celular                     | Qualitativa   | Chi-quadrado                   | 0.09193
p07_dormitorios                          | Qualitativa   | Chi-quadrado                   | 0.09751
p10_esgoto                               | Qualitativa   | Chi-quadrado                   | 0.10133
m09_atividades_divididas                 | Qualitativa   | Chi-quadrado                   | 0.10989
k08_quilos                               | Quantitativa  | Mann-Whitney U                 | 0.11314
vd_ebia_categ                            | Qualitativa   | Chi-quadrado                   | 0.11804
b03_relacao                              | Qualitativa   | Chi-quadrado                   | 0.12772
k22_amamentou                            | Qualitativa   | Chi-quadrado                   | 0.12975
b00_numero                               | Quantitativa  | Mann-Whitney U                 | 0.13417
m11_quem_decide                          | Qualitativa   | Chi-quadrado                   | 0.14139
n06_refrigerantes                        | Qualitativa   | Chi-quadrado                   | 0.14851
l07_adulto_sentiu_fome                   | Qualitativa   | Chi-quadrado                   | 0.15205
l01_morador_alim_acabassem               | Qualitativa   | Chi-quadrado                   | 0.16973
a06_domicilio                            | Quantitativa  | Mann-Whitney U                 | 0.17206
h10_consulta                             | Qualitativa   | Chi-quadrado                   | 0.19007
vd_ien_tercos                            | Qualitativa   | Chi-quadrado                   | 0.19036
n05_suco                                 | Qualitativa   | Chi-quadrado                   | 0.19323
j03_cor                                  | Qualitativa   | Chi-quadrado                   | 0.19904
o06_refrigerantes_variedade              | Qualitativa   | Chi-quadrado                   | 0.20632
vd_imc_mae                               | Quantitativa  | Mann-Whitney U                 | 0.22613
l10_menos18_insuficiente                 | Qualitativa   | Chi-quadrado                   | 0.23646
k29_alimentacao                          | Qualitativa   | Chi-quadrado                   | 0.24617
d01_cor                                  | Qualitativa   | Chi-quadrado                   | 0.24883
j09_frequenta                            | Qualitativa   | Chi-quadrado                   | 0.26455
r03_radio                                | Qualitativa   | Chi-quadrado                   | 0.26584
m03_alimentos_basicos                    | Qualitativa   | Chi-quadrado                   | 0.27789
l06_adulto_comeu_menos                   | Qualitativa   | Chi-quadrado                   | 0.28839
